type,index
0,0.005335553910683444
1,0.00369068179949009
2,0.0023439427584505306
3,0.002158894645941278
4,0.0015729089563286454
5,0.0024159059133152397
6,0.006353318529484332
7,0.012295419031170327
8,0.018587054856484906
9,0.025773089892260875
10,0.02617402746936426
11,0.025526359075581873
12,0.025248786906817994
13,0.024107656879677603
14,0.021969323135126242
15,0.02033473147462785
16,0.018196397730076485
17,0.01644872111193355
18,0.01647956246401842
19,0.015400115141047784
20,0.01380664528332922
21,0.01254214984784933
22,0.009211283822682785
23,0.007360802697590262
Friday,0.046786331112755986
Monday,0.05641911341393207
Saturday,0.03888066452833292
Sunday,0.040093757710338025
Thursday,0.047680730323217374
Tuesday,0.05295460152973106
Wednesday,0.05051813471502591
Apartment,0.029319845382021547
Commercial,0.021136606628834608
Educational,0.0020972119417715274
House,0.07467719384817831
Other,0.02327494037338597
Outside,0.18204622090632452
Transit,7.813142528168435e-4
