id,hood_158,risk_index
1,60,0.516729413766826
2,60,0.516729413766826
3,60,0.516729413766826
4,60,0.516729413766826
5,60,0.516729413766826
6,60,0.516729413766826
9,64,0.5361060213516068
10,64,0.5361060213516068
11,64,0.5361060213516068
15,78,0.6942756980133002
17,83,0.596758611525748
19,47,0.5476838644126232
20,144,0.5706751458841981
21,144,0.5706751458841981
22,144,0.5706751458841981
23,166,0.5587755434714586
24,166,0.5587755434714586
27,5,0.6157624786357531
28,5,0.6157624786357531
29,5,0.6157624786357531
30,5,0.6157624786357531
31,5,0.6157624786357531
32,5,0.6157624786357531
33,126,0.5916431659702356
34,126,0.5916431659702356
35,126,0.5916431659702356
38,129,0.5340478372813523
39,157,0.7208818945820902
40,157,0.7208818945820902
41,43,0.628276067020618
42,43,0.628276067020618
43,43,0.628276067020618
44,43,0.628276067020618
45,43,0.628276067020618
46,43,0.628276067020618
49,22,0.6999998949012063
51,100,0.5822780341561399
53,89,0.6785250933606157
55,38,0.5640416207956113
57,136,0.6239148596868501
60,60,0.567564468453701
61,128,0.6836965435883656
62,128,0.6836965435883656
63,128,0.6836965435883656
64,136,0.6189431900642489
67,95,0.6318853870999497
70,119,0.5312262463667631
71,119,0.5312262463667631
72,119,0.5312262463667631
73,119,0.5312262463667631
74,143,0.7027108291136012
75,143,0.7027108291136012
76,143,0.7027108291136012
77,98,0.6672774224656826
78,98,0.6672774224656826
79,98,0.6672774224656826
80,98,0.6672774224656826
81,98,0.6672774224656826
82,98,0.6672774224656826
87,80,0.5703197799408272
88,38,0.6517892320948635
89,38,0.6517892320948635
91,160,0.5140194384608244
92,160,0.5140194384608244
94,96,0.577178323239792
95,78,0.6097124903460893
96,78,0.6097124903460893
100,148,0.6101509232788583
102,119,0.6354819716227535
104,89,0.6908650921108845
106,88,0.699999898293221
108,1,0.47594615788797306
110,149,0.6310624399222928
114,125,0.6812516327951882
115,125,0.6812516327951882
118,66,0.6045373024713673
120,66,0.6045373024713673
123,54,0.5682816520434091
128,110,0.6172917114557362
129,110,0.6172917114557362
130,110,0.6172917114557362
131,110,0.6172917114557362
132,59,0.5402949152872608
133,59,0.5402949152872608
134,59,0.5402949152872608
135,4,0.538493726857846
139,172,0.6640061329785305
141,56,0.571061613924117
142,85,0.6127603128241342
144,145,0.65743182616099
145,145,0.65743182616099
146,145,0.65743182616099
148,38,0.5696988482719509
151,159,0.624759895690651
152,101,0.5431059598988476
156,11,0.5848131155494228
159,95,0.6005931966579847
160,83,0.5489255738503571
162,83,0.5489255738503571
165,73,0.5958921341580167
166,73,0.5958921341580167
167,73,0.5958921341580167
168,73,0.5958921341580167
170,73,0.5958921341580167
171,1,0.5029683117569015
172,1,0.5029683117569015
173,1,0.5029683117569015
175,70,0.6559274745381031
178,136,0.6113158807374359
179,11,0.6004495503098554
182,138,0.527530909930198
183,138,0.527530909930198
185,57,0.6236475843946032
188,87,0.6299133412712966
189,161,0.5959932382623495
190,161,0.5959932382623495
191,161,0.5959932382623495
192,161,0.5959932382623495
193,161,0.5959932382623495
194,161,0.5959932382623495
195,161,0.5959932382623495
196,160,0.49713983200805834
197,160,0.49713983200805834
198,160,0.49713983200805834
199,160,0.49713983200805834
200,160,0.49713983200805834
201,88,0.6999998791151125
202,88,0.6999998791151125
203,146,0.6579248569705316
204,146,0.6579248569705316
205,124,0.6050665120386821
206,124,0.6050665120386821
207,124,0.6050665120386821
209,81,0.627263154256251
210,6,0.5212511047575791
211,6,0.5212511047575791
212,116,0.6302399800373937
214,116,0.6302399800373937
215,116,0.6302399800373937
216,116,0.6302399800373937
220,116,0.6302399800373937
222,73,0.6677717691214524
224,171,0.5630304805618735
226,95,0.6231367953056474
228,152,0.5418286428393764
229,152,0.5418286428393764
230,152,0.5418286428393764
232,152,0.5418286428393764
234,27,0.5302524837576085
235,91,0.584226513504733
236,91,0.584226513504733
238,NSA,0.5890552921332954
239,NSA,0.5890552921332954
240,NSA,0.5890552921332954
241,NSA,0.5890552921332954
242,NSA,0.5890552921332954
245,142,0.5095905810981383
246,30,0.5260845352051198
247,30,0.5260845352051198
250,29,0.6999998728045785
253,111,0.6051533932960943
256,111,0.6051533932960943
258,70,0.6126348805917494
259,92,0.5956262944770934
263,95,0.6231367953056474
265,115,0.539821475832111
269,165,0.4964029262484025
270,165,0.4964029262484025
271,165,0.4964029262484025
272,165,0.4964029262484025
273,165,0.4964029262484025
275,44,0.5604575127890262
278,88,0.6999998581000874
280,42,0.4540710885650703
282,101,0.5431059598988476
284,170,0.6086530465035731
286,32,0.5295669295240232
290,139,0.4857149473090822
292,128,0.6808220585619302
294,73,0.5945420851129983
296,11,0.5552245491286854
297,126,0.6262734366370277
299,73,0.6071844129898565
300,73,0.6071844129898565
303,1,0.55037901483260665
304,169,0.6334710114674166
305,169,0.6334710114674166
306,169,0.6334710114674166
307,25,0.5411786608010948
308,25,0.5411786608010948
309,25,0.5411786608010948
310,120,0.58779130636028
311,120,0.58779130636028
312,120,0.58779130636028
313,120,0.58779130636028
314,120,0.58779130636028
315,120,0.58779130636028
317,30,0.5045142649311517
318,103,0.648712714452129
319,103,0.648712714452129
320,103,0.648712714452129
321,27,0.4896620042261148
322,27,0.4896620042261148
323,27,0.4896620042261148
324,27,0.4896620042261148
325,142,0.5257972103994311
326,142,0.5257972103994311
327,142,0.5257972103994311
328,144,0.5434947817021689
329,144,0.5434947817021689
331,144,0.5434947817021689
332,144,0.5434947817021689
333,144,0.5434947817021689
335,144,0.5434947817021689
338,83,0.6089409537472177
340,39,0.560604130617695
347,122,0.6989860485473041
348,122,0.6989860485473041
349,159,0.6143963816143839
354,102,0.4840678078202212
356,83,0.6111365805445871
361,83,0.6111365805445871
363,83,0.6111365805445871
365,160,0.47718720717092306
366,21,0.5707966372898234
367,21,0.5707966372898234
368,21,0.5707966372898234
369,21,0.5707966372898234
370,21,0.5707966372898234
371,122,0.7071419695726232
372,122,0.7071419695726232
373,47,0.5709084038339738
374,47,0.5709084038339738
375,47,0.5709084038339738
377,112,0.48109043757244624
379,144,0.5594100658225245
381,95,0.6403372182753027
382,81,0.6362306426137715
383,81,0.6362306426137715
384,81,0.6362306426137715
386,37,0.5115401343405727
388,128,0.6325948985724404
390,65,0.5620007112971863
391,65,0.5620007112971863
392,65,0.5620007112971863
393,65,0.5620007112971863
394,27,0.4519473862279507
395,27,0.4519473862279507
396,27,0.4519473862279507
397,27,0.4519473862279507
399,170,0.6407423026693542
400,40,0.4733112826287048
401,40,0.4733112826287048
402,40,0.4733112826287048
403,40,0.4733112826287048
405,128,0.6704341112666059
406,9,0.5058665033302092
407,9,0.5058665033302092
409,95,0.6214787476176167
411,99,0.5994131478395507
413,16,0.576493862242405
414,16,0.576493862242405
417,87,0.5441749225422329
420,144,0.6106783583356118
421,144,0.6106783583356118
422,97,0.6352862473241562
424,106,0.4747542756564992
427,154,0.6202748968963202
429,95,0.6144361465432401
431,78,0.6312676940363893
435,27,0.5191748324928049
438,35,0.5226482931086092
440,53,0.6673123438877667
441,27,0.5252505009179411
442,27,0.5252505009179411
